RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
Local,2024,5243,2024 Term 1,Postgraduate,5213,Legal Professional Practice,65995,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 2,PLTX2020,2020,WILC,29026165
Local,2024,5243,2024 Term 1,Postgraduate,5213,Legal Professional Practice,65996,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 1,PLTX1300,1300,WILC,29026165
Local,2024,5246,2024 Term 2,Postgraduate,8926,Teaching (Secondary),59591,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,29021759
Local,2024,5243,2024 Term 1,Postgraduate,5213,Legal Professional Practice,65995,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 2,PLTX2020,2020,WILC,29053219
Local,2024,5243,2024 Term 1,Postgraduate,5213,Legal Professional Practice,65996,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 1,PLTX1300,1300,WILC,29053219
Local,2024,5249,2024 Term 3,Undergraduate,4526,Fine Arts (Honours),65765,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,Honours PEP,ADAD4100,4100,WILC,29053484
International,2024,5246,2024 Term 2,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM5044,5044,WILC,29103677
Local,2024,5243,2024 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,29180897
Local,2024,5243,2024 Term 1,Undergraduate,3768,Eng (Hons) / MBiomedE,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,29249270
Local,2024,5243,2024 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,29273154
Local,2024,5243,2024 Term 1,Undergraduate,3785,Engineering (Hons) / Comp Sci,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,29288476
Local,2024,5243,2024 Term 1,Undergraduate,3785,Engineering (Hons) / Comp Sci,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,29283210
Local,2024,5243,2024 Term 1,Undergraduate,3767,Engineering (Hons) / Science,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,29311095
